"id";"word";"phrase";"gloss"
"a#00663009";" confusus obscurus ";"";""
"a#00663525";" apertus ";"";""
"a#00663810";" denominativus ";"";""
"a#00665285";" cascus ";"";""
"a#00665438";" cascus ";"";""
"a#00665796";" derivativus ";"";""
"a#00669114";" demissus ";"";""
"a#00671354";" delicatus imbecillus malacus tener ";"";""
"a#00674840";" delicatus fragilis imbecillus infirmus malacus tener ";"";""
"a#00678984";" precabundus ";"";""
"a#00683768";" arbitrarius ";"";""
"a#00688247";" certus fidelis ";"";""
"a#00698075";" appetibilis desiderabilis optabilis ";"";""
"a#00703403";" destructilis ";"";""
"a#00709986";" aequabilis aequalis uniformis ";"";""
"a#00710342";" arduus asper difficilis durus impeditus ";"";""
"a#00714553";" facilis proclivis ";"";""
"a#00718804";" curiosus diligens industrius ";"";""
"a#00719426";" dissolutus incuriosus indiligens ";"";""
"a#00734300";" intellegens ";"";""
"a#00735963";" gracilis modestus modicus pudens verecundus ";"";""
"a#00742364";" clarus distinctus expressus separ ";"";""
"a#00744086";" confusus indistinctus ";"";""
"a#00747360";" dividuus divisibilis partibilis ";"";""
"a#00748407";" atomus individuus indivisibilis ";"";""
"a#00749952";" imperiosus ";"";""
"a#00751688";" oboediens ";"";""
"a#00759258";" bibilis ";"";""
"a#00759599";" appotus ebriacus ebrius madidus ";"";""
"a#00760549";" ebriacus temulentus ";"";""
"a#00761445";" abstemius sanus sobrius ";"";""
"a#00763449";" asper ";"";""
"a#00764129";" acutus argutulus sagax ";"";""
"a#00764286";" asper mordax ";"";""
"a#00776933";" serus tardus ";"";""
"a#00777309";" provectus ";"";""
"a#00778594";" archaicus cascus ";"";""
"a#00789841";" comestibilis edulis esculentus ";"";""
"a#00795039";" efficax valens ";"";""
"a#00796147";" inefficax infirmus irritus ";"";""
"a#00803206";" debilis enervis imbecillus iners languidus mollis ";"";""
"a#00809143";" comptus concinnus cultus delicatus lautus mundus ";"";""
"a#00817794";" empiricus ";"";""
"a#00824936";" hortatorius ";"";""
"a#00831759";" actuosus vegetus ";"";""
"a#00841516";" experiens ";"";""
"a#00848466";" dispar impar inaequalis ";"";""
"a#00851170";" aequivocus ambifarius ambiguus medius ";"";""
"a#00854763";" acroaticus esotericus ";"";""
"a#00858627";" necessarius ";"";""
"a#00859401";" aspernabilis contemptibilis contemptus degener despectus despicabilis ";"";""
"a#00862067";" adulans adulatorius blandificus blandus ";"";""
"a#00863871";" infelix ";"";""
"a#00865276";" asper claudus impar inaequabilis inaequalis iniquus ";"";""
"a#00867289";" deciduus ";"";""
